"team","conference","eligible","eliminated","mid_major"
"Oklahoma St.","Big 12",TRUE,TRUE,FALSE
"TCU","Big 12",TRUE,TRUE,FALSE
"Texas","Big 12",TRUE,TRUE,FALSE
"Texas Tech","Big 12",TRUE,TRUE,FALSE
"West Virginia","Big 12",TRUE,FALSE,FALSE
"Butler","Big East",TRUE,TRUE,FALSE
"Creighton","Big East",TRUE,TRUE,FALSE
"DePaul","Big East",TRUE,TRUE,FALSE
"Georgetown","Big East",TRUE,TRUE,FALSE
"Marquette","Big East",TRUE,TRUE,FALSE
"Providence","Big East",TRUE,FALSE,FALSE
"Seton Hall","Big East",TRUE,TRUE,FALSE
"St. John's (NY)","Big East",TRUE,TRUE,FALSE
"Villanova","Big East",TRUE,FALSE,FALSE
"Xavier","Big East",TRUE,TRUE,FALSE
"Eastern Wash.","Big Sky",TRUE,FALSE,TRUE
"Idaho","Big Sky",TRUE,TRUE,TRUE
"Idaho St.","Big Sky",TRUE,TRUE,TRUE
"Montana","Big Sky",TRUE,FALSE,TRUE
"Montana St.","Big Sky",TRUE,TRUE,TRUE
"North Dakota","Big Sky",TRUE,TRUE,TRUE
"Northern Ariz.","Big Sky",TRUE,TRUE,TRUE
"Northern Colo.","Big Sky",TRUE,TRUE,TRUE
"Portland St.","Big Sky",TRUE,TRUE,TRUE
"Sacramento St.","Big Sky",TRUE,TRUE,TRUE
"Southern Utah","Big Sky",TRUE,TRUE,TRUE
"Weber St.","Big Sky",TRUE,TRUE,TRUE
"Campbell","Big South",TRUE,TRUE,TRUE
"Charleston So.","Big South",TRUE,TRUE,TRUE
"Gardner-Webb","Big South",TRUE,TRUE,TRUE
"High Point","Big South",TRUE,TRUE,TRUE
"Liberty","Big South",TRUE,TRUE,TRUE
"Longwood","Big South",TRUE,TRUE,TRUE
"Presbyterian","Big South",TRUE,TRUE,TRUE
"Radford","Big South",TRUE,FALSE,TRUE
"UNC Asheville","Big South",TRUE,TRUE,TRUE
"Winthrop","Big South",TRUE,TRUE,TRUE
"Cal Poly","Big West",TRUE,TRUE,TRUE
"Cal St. Fullerton","Big West",TRUE,FALSE,TRUE
"CSUN","Big West",TRUE,TRUE,TRUE
"Hawaii","Big West",TRUE,TRUE,TRUE
"Long Beach St.","Big West",TRUE,TRUE,TRUE
"UC Davis","Big West",TRUE,TRUE,TRUE
"UC Irvine","Big West",TRUE,FALSE,TRUE
"UC Riverside","Big West",TRUE,TRUE,TRUE
"UC Santa Barbara","Big West",TRUE,TRUE,TRUE
"Charlotte","C-USA",TRUE,TRUE,TRUE
"FIU","C-USA",TRUE,TRUE,TRUE
"Fla. Atlantic","C-USA",TRUE,TRUE,TRUE
"Louisiana Tech","C-USA",TRUE,TRUE,TRUE
"Marshall","C-USA",TRUE,FALSE,TRUE
"Middle Tenn.","C-USA",TRUE,TRUE,TRUE
"North Texas","C-USA",TRUE,TRUE,TRUE
"Old Dominion","C-USA",TRUE,TRUE,TRUE
"Rice","C-USA",TRUE,TRUE,TRUE
"Southern Miss.","C-USA",TRUE,TRUE,TRUE
"UAB","C-USA",TRUE,TRUE,TRUE
"UTEP","C-USA",TRUE,TRUE,TRUE
"UTSA","C-USA",TRUE,TRUE,TRUE
"Western Ky.","C-USA",TRUE,FALSE,TRUE
"Col. of Charleston","CAA",TRUE,FALSE,TRUE
"Delaware","CAA",TRUE,TRUE,TRUE
"Drexel","CAA",TRUE,TRUE,TRUE
"Elon","CAA",TRUE,TRUE,TRUE
"Hofstra","CAA",TRUE,TRUE,TRUE
"James Madison","CAA",TRUE,TRUE,TRUE
"Northeastern","CAA",TRUE,TRUE,TRUE
"Towson","CAA",TRUE,TRUE,TRUE
"UNCW","CAA",TRUE,TRUE,TRUE
"William & Mary","CAA",TRUE,TRUE,TRUE
"Cleveland St.","Horizon",TRUE,TRUE,TRUE
"Detroit Mercy","Horizon",TRUE,TRUE,TRUE
"Green Bay","Horizon",TRUE,TRUE,TRUE
"Ill.-Chicago","Horizon",TRUE,TRUE,TRUE
"IUPUI","Horizon",TRUE,TRUE,TRUE
"Milwaukee","Horizon",TRUE,TRUE,TRUE
"Northern Ky.","Horizon",TRUE,TRUE,TRUE
"Oakland","Horizon",TRUE,TRUE,TRUE
"Wright St.","Horizon",TRUE,FALSE,TRUE
"Youngstown St.","Horizon",TRUE,TRUE,TRUE
"Brown","Ivy",TRUE,TRUE,TRUE
"Columbia","Ivy",TRUE,TRUE,TRUE
"Cornell","Ivy",TRUE,FALSE,TRUE
"Dartmouth","Ivy",TRUE,TRUE,TRUE
"Harvard","Ivy",TRUE,FALSE,TRUE
"Penn","Ivy",TRUE,FALSE,TRUE
"Princeton","Ivy",TRUE,TRUE,TRUE
"Yale","Ivy",TRUE,FALSE,TRUE
"Canisius","MAAC",TRUE,TRUE,TRUE
"Fairfield","MAAC",TRUE,TRUE,TRUE
"Iona","MAAC",TRUE,FALSE,TRUE
"Manhattan","MAAC",TRUE,TRUE,TRUE
"Marist","MAAC",TRUE,TRUE,TRUE
"Monmouth","MAAC",TRUE,TRUE,TRUE
"Niagara","MAAC",TRUE,TRUE,TRUE
"Quinnipiac","MAAC",TRUE,TRUE,TRUE
"Rider","MAAC",TRUE,TRUE,TRUE
"Saint Peter's","MAAC",TRUE,TRUE,TRUE
"Siena","MAAC",TRUE,TRUE,TRUE
"Akron","MAC",TRUE,TRUE,TRUE
"Ball St.","MAC",TRUE,TRUE,TRUE
"Bowling Green","MAC",TRUE,TRUE,TRUE
"Buffalo","MAC",TRUE,FALSE,TRUE
"Central Mich.","MAC",TRUE,TRUE,TRUE
"Eastern Mich.","MAC",TRUE,TRUE,TRUE
"Kent St.","MAC",TRUE,TRUE,TRUE
"Miami (OH)","MAC",TRUE,TRUE,TRUE
"Northern Ill.","MAC",TRUE,TRUE,TRUE
"Ohio","MAC",TRUE,TRUE,TRUE
"Toledo","MAC",TRUE,FALSE,TRUE
"Western Mich.","MAC",TRUE,TRUE,TRUE
"Bethune-Cookman","MEAC",TRUE,TRUE,TRUE
"Coppin St.","MEAC",TRUE,TRUE,TRUE
"Delaware St.","MEAC",TRUE,TRUE,TRUE
"Florida A&M","MEAC",TRUE,TRUE,TRUE
"Hampton","MEAC",TRUE,FALSE,TRUE
"Howard","MEAC",TRUE,TRUE,TRUE
"Morgan St.","MEAC",TRUE,TRUE,TRUE
"N.C. A&T","MEAC",TRUE,TRUE,TRUE
"N.C. Central","MEAC",TRUE,FALSE,TRUE
"Norfolk St.","MEAC",TRUE,TRUE,TRUE
"Savannah St.","MEAC",TRUE,TRUE,TRUE
"South Carolina St.","MEAC",TRUE,TRUE,TRUE
"UMES","MEAC",TRUE,TRUE,TRUE
"Bradley","MVC",TRUE,TRUE,TRUE
"Drake","MVC",TRUE,TRUE,TRUE
"Evansville","MVC",TRUE,TRUE,TRUE
"Illinois St.","MVC",TRUE,TRUE,TRUE
"Indiana St.","MVC",TRUE,TRUE,TRUE
"Loyola Chicago","MVC",TRUE,FALSE,TRUE
"Missouri St.","MVC",TRUE,TRUE,TRUE
"Southern Ill.","MVC",TRUE,TRUE,TRUE
"UNI","MVC",TRUE,TRUE,TRUE
"Valparaiso","MVC",TRUE,TRUE,TRUE
"Air Force","MWC",TRUE,TRUE,TRUE
"Boise St.","MWC",TRUE,TRUE,TRUE
"Colorado St.","MWC",TRUE,TRUE,TRUE
"Fresno St.","MWC",TRUE,TRUE,TRUE
"Nevada","MWC",TRUE,TRUE,TRUE
"New Mexico","MWC",TRUE,FALSE,TRUE
"San Diego St.","MWC",TRUE,FALSE,TRUE
"San Jose St.","MWC",TRUE,TRUE,TRUE
"UNLV","MWC",TRUE,TRUE,TRUE
"Utah St.","MWC",TRUE,TRUE,TRUE
"Wyoming","MWC",TRUE,TRUE,TRUE
"Bryant","NEC",TRUE,TRUE,TRUE
"Central Conn. St.","NEC",TRUE,TRUE,TRUE
"Fairleigh Dickinson","NEC",TRUE,TRUE,TRUE
"LIU Brooklyn","NEC",TRUE,FALSE,TRUE
"Mt. St. Mary's","NEC",TRUE,TRUE,TRUE
"Robert Morris","NEC",TRUE,TRUE,TRUE
"Sacred Heart","NEC",TRUE,TRUE,TRUE
"Saint Francis (PA)","NEC",TRUE,TRUE,TRUE
"St. Francis Brooklyn","NEC",TRUE,TRUE,TRUE
"Wagner","NEC",TRUE,TRUE,TRUE
"Austin Peay","OVC",TRUE,TRUE,TRUE
"Belmont","OVC",TRUE,TRUE,TRUE
"Eastern Ill.","OVC",TRUE,TRUE,TRUE
"Eastern Ky.","OVC",TRUE,TRUE,TRUE
"Jacksonville St.","OVC",TRUE,TRUE,TRUE
"Morehead St.","OVC",TRUE,TRUE,TRUE
"Murray St.","OVC",TRUE,FALSE,TRUE
"SIUE","OVC",TRUE,TRUE,TRUE
"Southeast Mo. St.","OVC",FALSE,TRUE,TRUE
"Tennessee St.","OVC",TRUE,TRUE,TRUE
"Tennessee Tech","OVC",TRUE,TRUE,TRUE
"UT Martin","OVC",TRUE,TRUE,TRUE
"Arizona","Pac 12",TRUE,FALSE,FALSE
"Arizona St.","Pac 12",TRUE,TRUE,FALSE
"California","Pac 12",TRUE,TRUE,FALSE
"Colorado","Pac 12",TRUE,TRUE,FALSE
"Oregon","Pac 12",TRUE,TRUE,FALSE
"Oregon St.","Pac 12",TRUE,TRUE,FALSE
"Southern California","Pac 12",TRUE,FALSE,FALSE
"Stanford","Pac 12",TRUE,TRUE,FALSE
"UCLA","Pac 12",TRUE,TRUE,FALSE
"Utah","Pac 12",TRUE,TRUE,FALSE
"Washington","Pac 12",TRUE,TRUE,FALSE
"Washington St.","Pac 12",TRUE,TRUE,FALSE
"American","Patriot",TRUE,TRUE,TRUE
"Army West Point","Patriot",TRUE,TRUE,TRUE
"Boston U.","Patriot",TRUE,TRUE,TRUE
"Bucknell","Patriot",TRUE,FALSE,TRUE
"Colgate","Patriot",TRUE,TRUE,TRUE
"Holy Cross","Patriot",TRUE,TRUE,TRUE
"Lafayette","Patriot",TRUE,TRUE,TRUE
"Lehigh","Patriot",TRUE,TRUE,TRUE
"Loyola Maryland","Patriot",TRUE,TRUE,TRUE
"Navy","Patriot",TRUE,TRUE,TRUE
"Alabama","SEC",TRUE,FALSE,FALSE
"Arkansas","SEC",TRUE,FALSE,FALSE
"Auburn","SEC",TRUE,TRUE,FALSE
"Florida","SEC",TRUE,TRUE,FALSE
"Georgia","SEC",TRUE,TRUE,FALSE
"Kentucky","SEC",TRUE,FALSE,FALSE
"LSU","SEC",TRUE,TRUE,FALSE
"Mississippi St.","SEC",TRUE,TRUE,FALSE
"Missouri","SEC",TRUE,TRUE,FALSE
"Ole Miss","SEC",TRUE,TRUE,FALSE
"South Carolina","SEC",TRUE,TRUE,FALSE
"Tennessee","SEC",TRUE,FALSE,FALSE
"Texas A&M","SEC",TRUE,TRUE,FALSE
"Vanderbilt","SEC",TRUE,TRUE,FALSE
"Chattanooga","Southern",TRUE,TRUE,TRUE
"ETSU","Southern",TRUE,TRUE,TRUE
"Furman","Southern",TRUE,TRUE,TRUE
"Mercer","Southern",TRUE,TRUE,TRUE
"Samford","Southern",TRUE,TRUE,TRUE
"The Citadel","Southern",TRUE,TRUE,TRUE
"UNCG","Southern",TRUE,FALSE,TRUE
"VMI","Southern",TRUE,TRUE,TRUE
"Western Caro.","Southern",TRUE,TRUE,TRUE
"Wofford","Southern",TRUE,TRUE,TRUE
"A&M-Corpus Chris","Southland",TRUE,TRUE,TRUE
"Abilene Christian","Southland",TRUE,TRUE,TRUE
"Central Ark.","Southland",TRUE,TRUE,TRUE
"Houston Baptist","Southland",TRUE,TRUE,TRUE
"Incarnate Word","Southland",TRUE,TRUE,TRUE
"Lamar University","Southland",TRUE,TRUE,TRUE
"McNeese","Southland",TRUE,TRUE,TRUE
"New Orleans","Southland",TRUE,TRUE,TRUE
"Nicholls St.","Southland",TRUE,TRUE,TRUE
"Northwestern St.","Southland",TRUE,TRUE,TRUE
"Sam Houston St.","Southland",TRUE,TRUE,TRUE
"SFA","Southland",TRUE,FALSE,TRUE
"Southeastern La.","Southland",TRUE,FALSE,TRUE
"Denver","Summit",TRUE,TRUE,TRUE
"Fort Wayne","Summit",TRUE,TRUE,TRUE
"North Dakota St.","Summit",TRUE,TRUE,TRUE
"Omaha","Summit",TRUE,TRUE,TRUE
"Oral Roberts","Summit",TRUE,TRUE,TRUE
"South Dakota","Summit",TRUE,TRUE,TRUE
"South Dakota St.","Summit",TRUE,FALSE,TRUE
"Western Ill.","Summit",TRUE,TRUE,TRUE
"Appalachian St.","Sunbelt",TRUE,TRUE,TRUE
"Arkansas St.","Sunbelt",TRUE,TRUE,TRUE
"Coastal Caro.","Sunbelt",TRUE,TRUE,TRUE
"Ga. Southern","Sunbelt",TRUE,FALSE,TRUE
"Georgia St.","Sunbelt",TRUE,FALSE,TRUE
"La.-Monroe","Sunbelt",TRUE,TRUE,TRUE
"Little Rock","Sunbelt",TRUE,TRUE,TRUE
"Louisiana","Sunbelt",TRUE,FALSE,TRUE
"South Ala.","Sunbelt",TRUE,TRUE,TRUE
"Texas St.","Sunbelt",TRUE,TRUE,TRUE
"Troy","Sunbelt",TRUE,TRUE,TRUE
"UT Arlington","Sunbelt",TRUE,FALSE,TRUE
"Alabama A&M","SWAC",FALSE,TRUE,TRUE
"Alabama St.","SWAC",TRUE,TRUE,TRUE
"Alcorn","SWAC",TRUE,TRUE,TRUE
"Ark.-Pine Bluff","SWAC",TRUE,FALSE,TRUE
"Grambling","SWAC",FALSE,TRUE,TRUE
"Jackson St.","SWAC",TRUE,TRUE,TRUE
"Mississippi Val.","SWAC",TRUE,TRUE,TRUE
"Prairie View","SWAC",TRUE,TRUE,TRUE
"Southern U.","SWAC",TRUE,TRUE,TRUE
"Texas Southern","SWAC",TRUE,FALSE,TRUE
"Chicago St.","WAC",TRUE,TRUE,TRUE
"CSU Bakersfield","WAC",TRUE,TRUE,TRUE
"Grand Canyon","WAC",TRUE,FALSE,TRUE
"New Mexico St.","WAC",TRUE,FALSE,TRUE
"Seattle U","WAC",TRUE,TRUE,TRUE
"UMKC","WAC",TRUE,TRUE,TRUE
"Utah Valley","WAC",TRUE,TRUE,TRUE
"UTRGV","WAC",TRUE,TRUE,TRUE
"BYU","WCC",TRUE,TRUE,TRUE
"Gonzaga","WCC",TRUE,FALSE,TRUE
"Loyola Marymount","WCC",TRUE,TRUE,TRUE
"Pacific","WCC",TRUE,TRUE,TRUE
"Pepperdine","WCC",TRUE,TRUE,TRUE
"Portland","WCC",TRUE,TRUE,TRUE
"Saint Mary's (CA)","WCC",TRUE,TRUE,TRUE
"San Diego","WCC",TRUE,TRUE,TRUE
"San Francisco","WCC",TRUE,TRUE,TRUE
"Santa Clara","WCC",TRUE,TRUE,TRUE
