"team","qual_bonus","sor","wab","wins","losses"
"Oral Roberts",-112.649,-6.65448,-4.85255555555556,17.252,8.748
"Oregon",20.382,-4.31816,-0.523111111111111,18.5,10.5
"Oregon St.",-253.878,-16.17528,-12.3061111111111,5.612,22.388
"Pacific",-356.527,-17.06876,-14.8893333333333,5.977,20.023
"Penn",-214.344,-13.48664,-10.9847777777778,10.642,16.358
"Penn St.",-64.784,-8.14524,-3.86077777777778,12.218,14.782
"Pepperdine",-296.562,-18.21748,-14.8205555555556,6.613,23.387
"Pittsburgh",-222.556,-16.79816,-12.9262222222222,8.464,21.536
"Portland",-231.442,-13.24916,-10.8298888888889,11.268,16.732
"Portland St.",-410.962,-17.42852,-15.8173333333333,6.771,19.229
"Prairie View",-263.472,-13.92564,-11.4732222222222,8.526,17.474
"Presbyterian",-336.476,-15.06308,-13.165,8.603,17.397
"Princeton",-70.377,-5.35668,-3.83955555555556,18.281,6.719
"Providence",69.19,-1.8956,1.98311111111111,20.262,7.738
"Purdue",157.382,0.97716,5.38711111111111,24.442,5.558
"Purdue Fort Wayne",-251.128,-10.91912,-9.75411111111111,15.035,11.965
"Quinnipiac",-258.464,-12.5198,-10.9461111111111,12.984,14.016
"Radford",-328.074,-15.70168,-13.724,8.102,17.898
"Rhode Island",-93.651,-8.05756,-5.54077777777778,17.257,10.743
"Rice",-163.831,-9.354,-7.07333333333333,15.605,12.395
"Richmond",-45.717,-8.76432,-5.31944444444444,17.6,12.4
"Rider",-421.118,-18.37648,-16.4351111111111,8.753,20.247
"Robert Morris",-523.51,-20.24836,-18.572,6.55,22.45
"Rutgers",-53.572,-8.5252,-4.15477777777778,14.748,15.252
"Sacramento St.",-365.133,-14.94736,-13.5853333333333,8.124,16.876
"Sacred Heart",-466.056,-16.93604,-15.8137777777778,10.008,17.992
"Saint Francis (PA)",-416.195,-15.7768,-14.4548888888889,10.441,17.559
"Saint Joseph's",-169.45,-12.52916,-9.47633333333333,12.651,16.349
"Saint Louis",-2.559,-5.99732,-2.62777777777778,20.075,9.925
"Saint Mary's (CA)",48.925,-2.19792,1.15322222222222,20.599,7.401
"Saint Peter's",-240.573,-11.76388,-9.85366666666667,12.233,13.767
"Sam Houston St.",-174.234,-11.2722,-8.79944444444444,13.944,14.056
"Samford",-186.635,-12.18464,-9.85011111111111,11.38,14.62
"San Diego",-139.948,-11.00272,-8.21088888888889,12.252,14.748
"San Diego St.",53.552,-2.72708,0.370000000000001,18.265,6.735
"San Francisco",20.819,-2.57888,0.363999999999999,22.037,6.963
"San Jose St.",-204.608,-15.37452,-12.2367777777778,7.769,19.231
"Santa Clara",-67.687,-7.27732,-4.11966666666667,18.968,12.032
"Seattle U",-85.305,-6.3546,-4.47388888888889,20.753,8.247
"Seton Hall",46.7,-4.13964,0.183333333333332,17.232,10.768
"SFA",-125.608,-8.14908,-6.07666666666667,15.383,10.617
"Siena",-325.282,-13.98516,-12.2683333333333,12.387,15.613
"SIUE",-337.56,-15.59772,-13.4564444444444,9.815,18.185
"SMU",10.258,-4.10524,-0.989333333333332,20.71,8.29
"South Alabama",-113.323,-6.38156,-4.62022222222222,16.684,8.316
"South Carolina",-73.794,-8.40376,-4.22766666666667,13.825,15.175
"South Carolina St.",-388.041,-13.9294,-12.9863333333333,8.783,15.217
"South Dakota",-204.16,-9.563,-8.11322222222222,15.058,10.942
"South Dakota St.",-27.639,-3.088,-1.09844444444445,23.624,5.376
"South Fla.",-186.873,-14.53924,-11.0971111111111,8.543,19.457
"Southeast Mo. St.",-369.153,-15.86664,-13.9326666666667,8.97,18.03
"Southeastern La.",-254.914,-11.01144,-9.387,12.942,13.058
"Southern California",75.426,-0.851880000000002,2.60722222222222,23.234,5.766
"Southern Ill.",-169.56,-11.72728,-8.789,13.853,15.147
"Southern Miss.",-316.736,-17.41588,-14.7577777777778,5.638,20.362
"Southern U.",-156.505,-8.48456,-6.892,17.445,10.555
"Southern Utah",-156.95,-8.30668,-6.62277777777778,15.77,10.23
"St. Bonaventure",11.892,-5.13976,-1.88666666666667,19.063,8.937
"St. Francis Brooklyn",-507.076,-18.6304,-17.2087777777778,7.793,20.207
"St. John's (NY)",-26.226,-6.74808,-2.73911111111111,15.81,13.19
"St. Thomas (MN)",-281.7,-13.64636,-12.1098888888889,10.89,15.11
"Stanford",-8.85399999999999,-6.24232,-2.18088888888889,16.8,13.2
"Stetson",-339.993,-15.21972,-13.5384444444444,8.174,16.826
"Stony Brook",-166.402,-8.58704,-6.89622222222222,19.176,10.824
"Syracuse",-82.867,-9.57432,-5.38633333333333,15.214,15.786
"Tarleton St.",-204.094,-12.69136,-10.2248888888889,11.434,16.566
"TCU",45.32,-3.98068,0.647777777777778,17.997,12.003
"Temple",-57.77,-8.23516,-5.05133333333333,14.384,12.616
"Tennessee",111.728,0.435199999999999,4.86866666666667,22.252,7.748
"Tennessee St.",-423.768,-16.9968,-15.3955555555556,9.281,18.719
"Tennessee Tech",-314.943,-15.61152,-13.246,9.229,18.771
"Texas",65.22,-2.97504,1.537,19.509,11.491
"Texas A&M",2.186,-4.57508,-0.876222222222223,19.182,10.818
"Texas Southern",-160.998,-9.10548,-7.19344444444444,15.394,11.606
"Texas St.",-116.389,-6.14324,-4.57055555555556,15.31,8.69
"Texas Tech",116.972,-0.39864,4.085,22.346,8.654
"The Citadel",-218.17,-11.62416,-9.69833333333333,9.022,13.978
"Toledo",-28.689,-3.6554,-1.44488888888889,23.03,5.97
"Towson",-105.649,-6.45972,-4.44011111111111,22.484,8.516
"Troy",-184.233,-9.45612,-7.76788888888889,13.888,11.112
"Tulane",-138.525,-11.47632,-8.25366666666667,11.114,15.886
"Tulsa",-182.512,-14.22092,-10.8305555555556,10.749,18.251
"UAB",18.843,-2.97128,-0.420222222222223,23.313,5.687
"UC Davis",-211.384,-8.47412,-7.10677777777778,13.24,9.76
"UC Irvine",-123.466,-7.75584,-5.67244444444444,12.978,10.022
"UC Riverside",-110.615,-6.92308,-4.912,15.714,9.286
"UC San Diego",-293.814,-14.30856,-12.4377777777778,10.817,16.183
"UC Santa Barbara",-214.016,-10.36804,-8.79177777777778,11.882,12.118
"UCF",3.35599999999999,-5.56008,-2.41777777777778,17.631,10.369
"UCLA",94.152,0.283200000000001,3.81877777777778,21.213,5.787
"UConn",98.65,-1.4158,2.847,22.08,7.92
"UIC",-315.855,-14.315,-12.7427777777778,10.98,16.02
"UIW",-450.073,-16.88596,-15.3142222222222,5.069,19.931
"ULM",-280.445,-13.24736,-11.2266666666667,10.735,16.265
"UMass Lowell",-296.196,-12.55948,-11.1401111111111,11.995,14.005
"UMBC",-322.599,-13.78488,-12.3956666666667,12.951,15.049
"UMES",-321.1,-13.48596,-12.2022222222222,6.97,15.03
"UNC Asheville",-224.205,-10.21832,-8.62844444444444,14.025,11.975
"UNC Greensboro",-184.569,-10.73376,-8.47666666666667,14.612,13.388
"UNCW",-220.329,-9.88956,-8.29033333333333,15.695,11.305
"UNI",-116.475,-10.00208,-6.88455555555556,13.391,13.609
"UNLV",-97.345,-11.12316,-7.28588888888889,14.023,15.977
"USC Upstate",-312.766,-13.44756,-11.685,10.253,15.747
"UT Arlington",-259.504,-14.06496,-11.5068888888889,9.924,17.076
"UT Martin",-288.734,-15.05808,-12.9521111111111,9.22,17.78
"Utah",-124.876,-12.42628,-8.57866666666667,11.902,18.098
"Utah St.",-50.155,-8.54204,-4.76433333333333,15.64,13.36
"Utah Valley",-86.822,-7.71612,-5.30177777777778,17.75,10.25
"UTEP",-134.855,-9.87652,-7.39633333333333,12.95,13.05
"UTRGV",-333.542,-16.64436,-14.4738888888889,7.942,20.058
"UTSA",-287.508,-16.7332,-14.1907777777778,4.354,19.646
"Valparaiso",-192.064,-12.88172,-10.0312222222222,11.968,16.032
"Vanderbilt",-77.542,-8.46188,-4.39066666666667,13.62,15.38
"VCU",-7.50899999999999,-5.74532,-2.32755555555555,18.981,10.019
"Vermont",-41.274,-3.75744,-2.19411111111111,23.737,5.263
"Villanova",141.05,0.638279999999999,5.26855555555555,23.034,6.966
"Virginia",-81.998,-8.473,-4.62622222222222,15.89,14.11
"Virginia Tech",-23.938,-7.53428,-3.60766666666667,18.508,12.492
"VMI",-182.597,-9.65744,-7.528,14.087,11.913
"Wagner",-1.42300000000001,-1.56056,-0.481444444444444,20.169,2.831
"Wake Forest",65.317,-2.17752,1.47544444444445,23.87,7.13
"Washington",-143.402,-10.62828,-7.259,12.174,15.826
"Washington St.",-64.22,-7.10292,-3.91177777777778,16.674,11.326
"Weber St.",-109.561,-7.00316,-5.241,20.263,8.737
"West Virginia",-20.208,-4.36624,0.640444444444446,17.975,13.025
"Western Caro.",-323.137,-17.72104,-15.2645555555556,8.736,20.264
"Western Ill.",-237.918,-10.45752,-8.79144444444444,15.664,12.336
"Western Ky.",-160.444,-10.36408,-7.87966666666667,14.624,13.376
"Western Mich.",-341.791,-17.752,-15.3331111111111,4.261,20.739
"Wichita St.",-35.987,-6.8222,-3.71333333333333,15.39,11.61
"William & Mary",-567.313,-22.7704,-20.6041111111111,4.987,25.013
"Winthrop",-170.035,-8.49548,-6.70733333333333,15.65,10.35
"Wisconsin",132.539,-0.442319999999999,4.21855555555556,22.3,7.7
"Wofford",-125.261,-9.49588,-7.21155555555556,16.259,11.741
"Wright St.",-240.925,-11.21688,-9.81366666666667,17.058,12.942
"Wyoming",49.703,-1.7364,1.00466666666667,21.54,5.46
"Xavier",124.828,-1.0482,3.38944444444444,22.503,7.497
"Yale",-179.777,-9.82624,-7.84688888888889,14.431,12.569
"Youngstown St.",-244.053,-10.41448,-9.20311111111111,14.344,11.656
