NCAA,ESPN,ESPN_PBP,Warren_Nolan,Trank,name_247,conference
ETSU,ETSU,East Tennessee State,East Tennessee State,East Tennessee St.,East Tennessee State,Southern
Evansville,Evansville,Evansville,Evansville,Evansville,Evansville,MVC
Fairfield,Fairfield,Fairfield,Fairfield,Fairfield,Fairfield,MAAC
Fairleigh Dickinson,Fair Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,NEC
FGCU,FGCU,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,A-Sun
FIU,FIU,Florida Intl,FIU,FIU,FIU,C-USA
Fla. Atlantic,FAU,Florida Atlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic,C-USA
Florida,Florida,Florida,Florida,Florida,Florida,SEC
Florida A&M,Florida A&M,Florida A&M,Florida A&M,Florida A&M,Florida A&M,MEAC
Florida St.,Florida State,Florida State,Florida State,Florida St.,Florida State,ACC
Fordham,Fordham,Fordham,Fordham,Fordham,Fordham,A-10
Fort Wayne,Fort Wayne,Fort Wayne,IPFW,Fort Wayne,IPFW,Summit
Fresno St.,Fresno State,Fresno State,Fresno State,Fresno St.,Fresno State,MWC
Furman,Furman,Furman,Furman,Furman,Furman,Southern
Ga. Southern,Ga Southern,Georgia Southern,Georgia Southern,Georgia Southern,Georgia Southern,Sunbelt
Gardner-Webb,Gardner-Webb,Gardner-Webb,Gardner-Webb,Gardner Webb,Gardner-Webb,Big South
George Mason,George Mason,George Mason,George Mason,George Mason,George Mason,A-10
George Washington,G Washington,George Washington,George Washington,George Washington,George Washington,A-10
Georgetown,Georgetown,Georgetown,Georgetown,Georgetown,Georgetown,Big East
Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,SEC
Georgia St.,Georgia State,Georgia State,Georgia State,Georgia St.,Georgia State,Sunbelt
Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,ACC
Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga,WCC
Grambling,Grambling,Grambling,Grambling,Grambling St.,Grambling State,SWAC
Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,WAC
Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Wisconsin-Green Bay,Horizon
Hampton,Hampton,Hampton,Hampton,Hampton,Hampton,Big South
Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,Am. East
Harvard,Harvard,Harvard,Harvard,Harvard,Harvard,Ivy
Hawaii,Hawai'i,Hawai'i,Hawaii,Hawaii,Hawaii,Big West
High Point,High Point,High Point,High Point,High Point,High Point,Big South
Hofstra,Hofstra,Hofstra,Hofstra,Hofstra,Hofstra,CAA
Holy Cross,Holy Cross,Holy Cross,Holy Cross,Holy Cross,Holy Cross,Patriot
Houston,Houston,Houston,Houston,Houston,Houston,AAC
Houston Baptist,Houston Baptist,Houston Baptist,Houston Baptist,Houston Baptist,Houston Baptist,Southland
Howard,Howard,Howard,Howard,Howard,Howard,MEAC
Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Big Sky
Idaho St.,Idaho State,Idaho State,Idaho State,Idaho St.,Idaho State,Big Sky
Ill.-Chicago,UIC,UIC,Illinois-Chicago,Illinois Chicago,Illinois Chicago,Horizon
Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Big 10
Illinois St.,Illinois State,Illinois State,Illinois State,Illinois St.,Illinois State,MVC
Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word,Southland
Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Big 10
Indiana St.,Indiana State,Indiana State,Indiana State,Indiana St.,Indiana State,MVC
Iona,Iona,Iona,Iona,Iona,Iona,MAAC
Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Big 10
Iowa St.,Iowa State,Iowa State,Iowa State,Iowa St.,Iowa State,Big 12
IUPUI,IUPUI,IUPUI,IUPUI,IUPUI,IUPUI,Horizon
Jackson St.,Jackson State,Jackson State,Jackson State,Jackson St.,Jackson State,SWAC
Jacksonville,Jacksonville,Jacksonville,Jacksonville,Jacksonville,Jacksonville,A-Sun
Jacksonville St.,Jacksonville St,Jacksonville State,Jacksonville State,Jacksonville St.,Jacksonville State,OVC
James Madison,JMU,James Madison,James Madison,James Madison,James Madison,CAA
Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Big 12
Kansas St.,Kansas State,Kansas State,Kansas State,Kansas St.,Kansas State,Big 12
Kennesaw St.,Kennesaw State,Kennesaw State,Kennesaw State,Kennesaw St.,Kennesaw State,A-Sun
Kent St.,Kent State,Kent State,Kent State,Kent St.,Kent State,MAC
Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,SEC
La Salle,La Salle,La Salle,La Salle,La Salle,La Salle,A-10
La.-Monroe,UL Monroe,UL Monroe,ULM,Louisiana Monroe,Louisiana-Monroe,Sunbelt
Lafayette,Lafayette,Lafayette,Lafayette,Lafayette,Lafayette,Patriot
Lamar University,Lamar,Lamar,Lamar,Lamar,Lamar,Southland
Lehigh,Lehigh,Lehigh,Lehigh,Lehigh,Lehigh,Patriot
Liberty,Liberty,Liberty,Liberty,Liberty,Liberty,Big South
Lipscomb,Lipscomb,Lipscomb,Lipscomb,Lipscomb,Lipscomb,A-Sun
Little Rock,Little Rock,Little Rock,Arkansas-Little Rock,Little Rock,Arkansas-Little Rock,Sunbelt
LIU Brooklyn,LIU Brooklyn,LIU Brooklyn,Long Island,LIU Brooklyn,Long Island,NEC
Long Beach St.,Long Beach St,Long Beach State,Long Beach State,Long Beach St.,Long Beach State,Big West
Longwood,Longwood,Longwood,Longwood,Longwood,Longwood,Big South
Louisiana,Louisiana,Louisiana,Louisiana-Lafayette,Louisiana Lafayette,Louisiana,Sunbelt
Louisiana Tech,LA Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,C-USA
Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,ACC
Loyola Chicago,Loyola-Chicago,Loyola-Chicago,Loyola-Chicago,Loyola Chicago,Loyola Chicago,MVC
Loyola Maryland,Loyola (MD),Loyola (MD),Loyola-Maryland,Loyola MD,Loyola (MD),Patriot
Loyola Marymount,Loyola Mary,Loyola Marymount,Loyola-Marymount,Loyola Marymount,Loyola Marymount,WCC
LSU,LSU,LSU,LSU,LSU,LSU,SEC
Maine,Maine,Maine,Maine,Maine,Maine,Am. East
Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,MAAC
Marist,Marist,Marist,Marist,Marist,Marist,MAAC
Marquette,Marquette,Marquette,Marquette,Marquette,Marquette,Big East
Marshall,Marshall,Marshall,Marshall,Marshall,Marshall,C-USA
Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Big 10
Massachusetts,UMass,Massachusetts,Massachusetts,Massachusetts,Massachusetts,A-10
McNeese,McNeese,McNeese,McNeese State,McNeese St.,McNeese State,Southland
Memphis,Memphis,Memphis,Memphis,Memphis,Memphis,AAC
Mercer,Mercer,Mercer,Mercer,Mercer,Mercer,Southern
Miami (FL),Miami,Miami,Miami (FL),Miami FL,Miami,ACC
Miami (OH),Miami (OH),Miami (OH),Miami (OH),Miami OH,Miami (OH),MAC
Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Big 10
Michigan St.,Michigan State,Michigan State,Michigan State,Michigan St.,Michigan State,Big 10
Middle Tenn.,Mid Tennessee,Middle Tennessee,Middle Tennessee,Middle Tennessee,Middle Tennessee State,C-USA
Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Wisconsin-Milwaukee,Horizon
Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Big 10
Mississippi St.,Miss St,Mississippi State,Mississippi State,Mississippi St.,Mississippi State,SEC
Mississippi Val.,Miss Valley St,Mississippi Valley State,Mississippi Valley State,Mississippi Valley St.,Mississippi Valley State,SWAC
Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,SEC
Missouri St.,Missouri State,Missouri State,Missouri State,Missouri St.,Missouri State,MVC
Monmouth,Monmouth,Monmouth,Monmouth,Monmouth,Monmouth,MAAC
Montana,Montana,Montana,Montana,Montana,Montana,Big Sky
Montana St.,Montana State,Montana State,Montana State,Montana St.,Montana State,Big Sky
Morehead St.,Morehead State,Morehead State,Morehead State,Morehead St.,Morehead State,OVC
Morgan St.,Morgan State,Morgan State,Morgan State,Morgan St.,Morgan State,MEAC
Mt. St. Mary's,Mt St Mary's,Mt. St. Mary's,Mount Saint Mary's,Mount St. Mary's,Mount St. Mary's,NEC
Murray St.,Murray State,Murray State,Murray State,Murray St.,Murray State,OVC
N.C. A&T,NC A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T,MEAC
N.C. Central,NC Central,North Carolina Central,North Carolina Central,North Carolina Central,North Carolina Central,MEAC
Navy,Navy,Navy,Navy,Navy,Navy,Patriot
Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Big 10
Nevada,Nevada,Nevada,Nevada,Nevada,Nevada,MWC
New Hampshire,UNH,New Hampshire,New Hampshire,New Hampshire,New Hampshire,Am. East
New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,MWC
New Mexico St.,New Mexico St,New Mexica State,New Mexico State,New Mexico St.,New Mexico State,WAC
New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,Southland
Niagara,Niagara,Niagara,Niagara,Niagara,Niagara,MAAC
Nicholls St.,Nicholls,Nicholls,Nicholls State,Nicholls St.,Nicholls State,Southland
NJIT,NJIT,NJIT,New Jersey Tech,NJIT,NJIT,A-Sun
Norfolk St.,Norfolk State,Norfolk State,Norfolk State,Norfolk St.,Norfolk State,MEAC
North Ala.,NA,NA,NA,North Alabama,North Ala.,A-Sun
North Carolina,UNC,North Carolina,North Carolina,North Carolina,North Carolina,ACC
North Carolina St.,NC State,NC State,North Carolina State,North Carolina St.,N.C. State,ACC
North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,Summit
North Dakota St.,North Dakota St,North Dakota St,North Dakota State,North Dakota St.,North Dakota State,Summit
North Florida,North Florida,North Florida,North Florida,North Florida,North Florida,A-Sun
North Texas,North Texas,North Texas,North Texas,North Texas,North Texas,C-USA
Northeastern,Northeastern,Northeastern,Northeastern,Northeastern,Northeastern,CAA
Northern Ariz.,N Arizona,Northern Arizona,Northern Arizona,Northern Arizona,Northern Arizona,Big Sky
Northern Colo.,N Colorado,Northern Colorado,Northern Colorado,Northern Colorado,Northern Colorado,Big Sky
Northern Ill.,N Illinois,Northen Illinois,Northern Illinois,Northern Illinois,Northern Illinois,MAC
Northern Ky.,N Kentucky,Northen Kentucky,Northern Kentucky,Northern Kentucky,Northern Kentucky,Horizon
Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,Big 10
Northwestern St.,Northwestern St,Northwestern State,Northwestern State,Northwestern St.,Northwestern State,Southland
Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame,ACC
Oakland,Oakland,Oakland,Oakland,Oakland,Oakland,Horizon
Ohio,Ohio,Ohio,Ohio,Ohio,Ohio,MAC
Ohio St.,OSU,Ohio State,Ohio State,Ohio St.,Ohio State,Big 10
Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Big 12
Oklahoma St.,Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma St.,Oklahoma State,Big 12
Old Dominion,Old Dominion,Old Dominion,Old Dominion,Old Dominion,Old Dominion,C-USA
Ole Miss,Ole Miss,Ole Miss,Ole Miss,Mississippi,Ole Miss,SEC
Omaha,Omaha,Omaha,Nebraska-Omaha,Nebraska Omaha,Nebraska Omaha,Summit
Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts,Summit
Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Pac 12
Oregon St.,Oregon State,Oregon State,Oregon State,Oregon St.,Oregon State,Pac 12
Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,WCC
Penn,Penn,Pennsylvania,Pennsylvania,Penn,Pennsylvania,Ivy
Penn St.,Penn State,Penn State,Penn State,Penn St.,Penn State,Big 10
Pepperdine,Pepperdine,Pepperdine,Pepperdine,Pepperdine,Pepperdine,WCC
Pittsburgh,Pitt,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,ACC
Portland,Portland,Portland,Portland,Portland,Portland,WCC
Portland St.,Portland State,Portland State,Portland State,Portland St.,Portland State,Big Sky
Prairie View,PV A&M,Prairie View A&M,Prairie View A&M,Prairie View A&M,Prairie View A&M,SWAC
Presbyterian,Presbyterian,Presbyterian College,Presbyterian College,Presbyterian,Presbyterian,Big South
Princeton,Princeton,Princeton,Princeton,Princeton,Princeton,Ivy
Providence,Providence,Providence,Providence,Providence,Providence,Big East
Purdue,Purdue,Purdue,Purdue,Purdue,Purdue,Big 10
Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,MAAC
Radford,Radford,Radford,Radford,Radford,Radford,Big South
Rhode Island,URI,Rhode Island,Rhode Island,Rhode Island,Rhode Island,A-10
Rice,Rice,Rice,Rice,Rice,Rice,C-USA
Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,A-10
Rider,Rider,Rider,Rider,Rider,Rider,MAAC
Robert Morris,Robert Morris,Robert Morris,Robert Morris,Robert Morris,Robert Morris,NEC
Rutgers,Rutgers,Rutgers,Rutgers,Rutgers,Rutgers,Big 10
Sacramento St.,Sacramento St,Sacramento State,Sacramento State,Sacramento St.,Sacramento State,Big Sky
Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart,NEC
Saint Francis (PA),St Francis (PA),St. Francis (PA),Saint Francis (PA),St. Francis PA,Saint Francis (PA),NEC
Saint Joseph's,Saint Joe's,Saint Joseph's,Saint Joseph's,Saint Joseph's,Saint Joseph's,A-10
Saint Louis,Saint Louis,Saint Louis,Saint Louis,Saint Louis,Saint Louis,A-10
Saint Mary's (CA),Saint Mary's,Saint Mary's,Saint Mary's College,Saint Mary's,St. Mary's,WCC
Saint Peter's,St Peter's,Saint Peter's,Saint Peter's,Saint Peter's,Saint Peter's,MAAC
Sam Houston St.,Sam Houston,Sam Houston State,Sam Houston State,Sam Houston St.,Sam Houston State,Southland
Samford,Samford,Samford,Samford,Samford,Samford,Southern
San Diego,San Diego,San Diego,San Diego,San Diego,San Diego,WCC
San Diego St.,San Diego State,San Diego State,San Diego State,San Diego St.,San Diego State,MWC
San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,WCC
San Jose St.,San Jose State,San Jose State,San Jose State,San Jose St.,San Jose State,MWC
Santa Clara,Santa Clara,Santa Clara,Santa Clara,Santa Clara,Santa Clara,WCC
Savannah St.,Savannah State,Savannah State,Savannah State,Savannah St.,Savannah State,MEAC
Seattle U,Seattle,Seattle,Seattle University,Seattle,Seattle,WAC
Seton Hall,Seton Hall,Seton Hall,Seton Hall,Seton Hall,Seton Hall,Big East
SFA,SF Austin,Stephen F. Austin,Stephen F. Austin,Stephen F. Austin,Stephen F. Austin,Southland
Siena,Siena,Siena,Siena,Siena,Siena,MAAC
SIUE,SIUE,SIU-Edwadsville,SIU Edwardsville,SIU Edwardsville,SIU Edwardsville,OVC
SMU,SMU,SMU,SMU,SMU,SMU,AAC
South Ala.,South Alabama,South Alabama,South Alabama,South Alabama,South Alabama,Sunbelt
South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,SEC
South Carolina St.,S Carolina St,South Carolina State,South Carolina State,South Carolina St.,South Carolina State,MEAC
South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,Summit
South Dakota St.,South Dakota St,South Dakota State,South Dakota State,South Dakota St.,South Dakota State,Summit
South Fla.,USF,South Florida,South Florida,South Florida,USF,AAC
Southeast Mo. St.,SE Missouri St,Southeast Missouri,Southeast Missouri State,Southeast Missouri St.,Southeast Missouri State,OVC
Southeastern La.,SE Louisiana,SE Louisiana,Southeastern Louisiana,Southeastern Louisiana,Southeastern Louisiana,Southland
Southern California,USC,USC,USC,USC,USC,Pac 12
Southern Ill.,S Illinois,Southern Illinois,Southern Illinois,Southern Illinois,Southern Illinois,MVC
Southern Miss.,Southern Miss,Southern Miss,Southern Miss,Southern Miss,Southern Miss,C-USA
Southern U.,Southern,Southern,Southern,Southern,Southern University,SWAC
Southern Utah,Southern Utah,Southern Utah,Southern Utah,Southern Utah,Southern Utah,Big Sky
St. Bonaventure,St Bonaventure,St. Bonaventure,Saint Bonaventure,St. Bonaventure,St. Bonaventure,A-10
St. Francis Brooklyn,St Francis (BKN),St. Francis (BKN),Saint Francis (NY),St. Francis NY,St. Francis (NY),NEC
St. John's (NY),St John's,St. John's,Saint John's,St. John's,St. John's,Big East
Stanford,Stanford,Stanford,Stanford,Stanford,Stanford,Pac 12
Stetson,Stetson,Stetson,Stetson,Stetson,Stetson,A-Sun
Stony Brook,Stony Brook,Stony Brook,Stony Brook,Stony Brook,Stony Brook,Am. East
Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,ACC
TCU,TCU,TCU,TCU,TCU,TCU,Big 12
Temple,Temple,Temple,Temple,Temple,Temple,AAC
Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,SEC
Tennessee St.,Tennessee St,Tennessee St,Tennessee State,Tennessee St.,Tennessee State,OVC
Tennessee Tech,Tenn Tech,Tennessee Tech,Tennessee Tech,Tennessee Tech,Tennessee Tech,OVC
Texas,Texas,Texas,Texas,Texas,Texas,Big 12
Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M,SEC
Texas Southern,Texas Southern,Texas Southern,Texas Southern,Texas Southern,Texas Southern,SWAC
Texas St.,Texas State,Texas State,Texas State,Texas St.,Texas State,Sunbelt
Texas Tech,Texas Tech,Texas Tech,Texas Tech,Texas Tech,Texas Tech,Big 12
The Citadel,The Citadel,The Citadel,The Citadel,The Citadel,Citadel,Southern
Toledo,Toledo,Toledo,Toledo,Toledo,Toledo,MAC
Towson,Towson,Towson,Towson,Towson,Towson,CAA
Troy,Troy,Troy,Troy,Troy,Troy,Sunbelt
Tulane,Tulane,Tulane,Tulane,Tulane,Tulane,AAC
Tulsa,Tulsa,Tulsa,Tulsa,Tulsa,Tulsa,AAC
UAB,UAB,UAB,UAB,UAB,UAB,C-USA
UC Davis,UC Davis,UC Davis,UC Davis,UC Davis,UC Davis,Big West
UC Irvine,UC Irvine,UC Irvine,UC Irvine,UC Irvine,UC Irvine,Big West
UC Riverside,UC Riverside,UC Riverside,UC Riverside,UC Riverside,UC Riverside,Big West
UC Santa Barbara,UCSB,UC Santa Barbara,UC Santa Barbara,UC Santa Barbara,UC Santa Barbara,Big West
UCF,UCF,UCF,UCF,UCF,UCF,AAC
UCLA,UCLA,UCLA,UCLA,UCLA,UCLA,Pac 12
UConn,UConn,Connecticut,Connecticut,Connecticut,Connecticut,AAC
UMass Lowell,UMass Lowell,UMass Lowell,Massachusetts-Lowell,UMass Lowell,UMass Lowell,Am. East
UMBC,UMBC,UMBC,UMBC,UMBC,UMBC,Am. East
UMES,MD-E Shore,Maryland-Eastern Shore,Maryland Eastern Shore,Maryland Eastern Shore,Maryland Eastern Shore,MEAC
UMKC,UMKC,UMKC,UMKC,UMKC,Missouri-Kansas City,WAC
UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville,Big South
UNCG,UNCG,UNC Greensboro,UNC Greensboro,UNC Greensboro,UNC Greensboro,Southern
UNCW,UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington,CAA
UNI,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa,MVC
UNLV,UNLV,UNLV,UNLV,UNLV,UNLV,MWC
USC Upstate,USC Upstate,South Carolina Upstate,South Carolina Upstate,USC Upstate,South Carolina Upstate,Big South
UT Arlington,UT Arlington,UT Arlington,UTA,UT Arlington,UT-Arlington,Sunbelt
UT Martin,UT Martin,UT Martin,Tennessee-Martin,Tennessee Martin,Tennessee-Martin,OVC
Utah,Utah,Utah,Utah,Utah,Utah,Pac 12
Utah St.,Utah State,Utah State,Utah State,Utah St.,Utah State,MWC
Utah Valley,Utah Valley,Utah Valley,Utah Valley,Utah Valley,Utah Valley,WAC
UTEP,UTEP,UTEP,UTEP,UTEP,UTEP,C-USA
UTRGV,UT Rio Grande,UT Rio Grande Valley,UTRGV,UT Rio Grande Valley,UTSA,WAC
UTSA,UTSA,UT San Antonio,UTSA,UTSA,Texas-San Antonio,C-USA
Valparaiso,Valparaiso,Valparaiso,Valparaiso,Valparaiso,Valparaiso,MVC
Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,SEC
VCU,VCU,VCU,Virginia Commonwealth,VCU,VCU,A-10
Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Am. East
